Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
телевизор,445 741,,,,(ID) 2819 - Телевизор,605,605,605,605,605,
футболка для девочки,444 951,,,,(ID) 192 - Футболка,593,593,593,593,593,
база под макияж,443 960,,,,(ID) 354 - База Под Макияж,378,378,378,378,378,
iphone 13,443 780
sela женская,443 329
футболки,441 441,,,,(ID) 192 - Футболки,705,705,705,705,705,
купальник слитный,439 159,,,,(ID) 90 - Купальник Слитный,1960,1960,1960,1960,1960,
фонарь,438 603,,,,(ID) 504 - Фонарь спортивный,1363,1363,1363,1363,1363,
смартфон,433 876,,,,(ID) 515 - Смартфон,419,419,419,419,419,
adidas кроссовки,433 490
h&m,433 311
аксессуары,432 143
протеин,427 763,,,,(ID) 1111 - Протеин,1000,1000,1000,1000,1000,
расческа для волос,427 206,,,,(ID) 500 - Расческа,975,975,975,975,975,
резинки для волос,426 879,,,,(ID) 501 - Резинки Для Волос,667,667,667,667,667,
штаны карго,426 855,,,,(ID) 11 - Брюки,1451,1451,1451,1451,1451,
чехол на iphone xr,426 674,,,,(ID) 390 - Чехол для телефона,274,274,274,274,274,
сережки,425 752,,,,(ID) 207 - Ювелирные серьги,1247,1247,1247,1247,1247,
кружка,424 719,,,,(ID) 812 - Кружка,495,495,495,495,495,
платья и сарафаны,424 676,,,,(ID) 69 - Платье,3700,3700,3700,3700,3700,
джинсы клеш,423 736,,,,(ID) 180 - Джинсы,959,959,959,959,959,
трусы,423 611,,,,(ID) 133 - Трусы,4609,4609,4609,4609,4609,
скраб для тела,421 106,,,,(ID) 361 - Скраб,2407,2407,2407,2407,2407,
sokolov,418 335
ветровка,418 271,,,,(ID) 172 - Ветровка,575,575,575,575,575,
карго женские,416 878,,,,(ID) 11 - Брюки,1800,1800,1800,1800,1800,
толстовка,416 724,,,,(ID) 233 - Толстовка,234,234,234,234,234,
фен для волос,415 503,,,,(ID) 642 - Фен,4170,4170,4170,4170,4170,
джинсы карго,413 031,,,,(ID) 180 - Джинсы,904,904,904,904,904,
спортивные штаны мужские,411 766,,,,(ID) 5204 - Брюки спортивные,803,803,803,803,803,
брюки мужские,411 719,,,,(ID) 11 - Брюки Мужские,1095,1095,1095,1095,1095,
джинсовая юбка,411 228,,,,(ID) 38 - Юбка,570,570,570,570,570,
джоггеры женские,408 557,,,,(ID) 180 - Джинсы,1000,1000,1000,1000,1000,
пиджак,407 588,,,,(ID) 149 - Пиджак,1010,1010,1010,1010,1010,
румяна,405 783,,,,(ID) 355 - Румяна,100,100,100,100,100,
лоферы женские натуральная кожа,405 518,,,,(ID) 1664 - Лоферы,828,828,828,828,828,
тренч,405 324,,,,(ID) 193 - Тренчкот,1500,1500,1500,1500,1500,
игрушки,405 173
джорданы,403 340,,,,(ID) 105 - Кроссовки,150,150,150,150,150,
коврик для ванной,402 785,,,,(ID) 1625 - Коврик Для Ванной,1303,1303,1303,1303,1303,
ноутбук,399 890,,,,(ID) 2290 - Ноутбук,651,651,651,651,651,
юбка шорты,399 101,,,,(ID) 38 - Юбка,624,624,624,624,624,
бомбер мужской,396 169,,,,(ID) 1635 - Бомбер,1684,1684,1684,1684,1684,
браслет женский,395 437,,,,(ID) 201 - Браслет,850,850,850,850,850,
часы настенные,395 325,,,,(ID) 625 - Часы Настенные,452,452,452,452,452,
резиновые сапоги женские,394 188,,,,(ID) 283 - Резиновые сапоги,289,289,289,289,289,
стеллаж,392 989,,,,(ID) 1901 - Стеллаж,825,825,825,825,825,
samsung,392 261
костюм,391 154,,,,(ID) 177 - Костюм,2250,2250,2250,2250,2250,
рюкзак мужской,390 546,,,,(ID) 138 - Рюкзак,1504,1504,1504,1504,1504,
смарт часы,390 288,,,,(ID) 787 - Смарт Часы,2858,2858,2858,2858,2858,
бальзам для волос,389 727,,,,(ID) 377 - Бальзам,0,0,0,0,0,
кросовки,388 900,,,,(ID) 105 - Кроссовки,519,519,519,519,519,
victoria's secret,387 772,,,,(ID) 165 - Комплект белья,60,60,60,60,60,
пудра,387 635,,,,(ID) 352 - Пудра,500,500,500,500,500,
серьги бижутерия,386 929,,,,(ID) 203 - Серьги,785,785,785,785,785,
